work_location,dedication,contract_type,last_monthly_salary_or_net,job_type,experience_years,people_under_charge,used_platforms,used_technologies,used_frameworks,databases,qa_testing,max_studies_level,state,edu_institution,age,gender,salary_dollarized,seniority,salary
Entre Ríos,Full-Time,Contractor,430000.0,SysAdmin / DevOps / SRE,0,0,"Amazon Web Services, Docker, Linux","Bash/Shell, Python, SQL","Laravel, Node.js",PostgreSQL,Ninguna de las anteriores,Universitario,En curso,UTN - Universidad Tecnológica Nacional,30,Hombre Cis,True,Junior,430000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),491526.0,Architect,4,3,Salesforce,Apex,Lightning web component,Soql,Ninguna de las anteriores,Universitario,En curso,UTN - Universidad Tecnológica Nacional,34,Hombre Cis,True,Semi-Senior,733236.0
Mendoza,Full-Time,Staff (planta permanente),182401.0,QA / Tester,1,0,"Amazon Web Services, Azure",Python,Ninguno de los anteriores,Amazon DynamoDB,Selenium,Maestría,Incompleto,UNCUYO - Universidad Nacional de Cuyo,31,Hombre Cis,True,Junior,250622.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),272000.0,Data Engineer,2,0,Ninguna de las anteriores,"Python, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,Universitario,Completo,UNLaM - Universidad Nacional de La Matanza,32,Mujer Cis,True,Junior,330000.0
Buenos Aires,Full-Time,Freelance,240000.0,Developer,2,0,Firebase,"CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, Node.js",MySQL,Ninguna de las anteriores,Terciario,Incompleto,UTN - Universidad Tecnológica Nacional,27,Hombre Cis,True,Junior,300000.0
Buenos Aires,Full-Time,Staff (planta permanente),420000.0,Technical Leader,5,0,"Amazon Web Services, Docker","Bash/Shell, Go, PHP, SQL, TypeScript","Laravel, Node.js","Amazon DynamoDB, MySQL",Go test,Terciario,Completo,ESBA - Escuela Superior Buenos Aires,27,Hombre Cis,True,Semi-Senior,600000.0
Córdoba,Full-Time,Staff (planta permanente),260000.0,Recruiter / HR,5,0,manatal,SQL,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Posgrado/Especialización,Completo,UNC - Universidad Nacional de Córdoba,29,Mujer Cis,True,Semi-Senior,310000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),750000.0,Data Scientist,3,1,"Amazon Web Services, Docker","Python, R, SQL","Flask, Spark, Pytorch",PostgreSQL,Visual Studio Coded UI,Maestría,Completo,UCA - Universidad Católica Argentina,30,Hombre Cis,True,Semi-Senior,1000000.0
Mendoza,Full-Time,Staff (planta permanente),560000.0,Middleware,5,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Serverless","Java, Kotlin, SQL",Spring,"Cassandra, MySQL, Neo4j",JUnit,Universitario,Completo,Universidad Siglo 21,28,Hombre Cis,True,Semi-Senior,842000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),515000.0,Developer,2,0,Linux,"Bash/Shell, C#, Groovy, Java, Kotlin, Python",.NET Core,SQLite,Ninguna de las anteriores,Universitario,En curso,UADE - Universidad Argentina De la Empresa,25,Hombre Cis,True,Junior,750000.0
Córdoba,Full-Time,Staff (planta permanente),590000.0,QA / Tester,4,0,Azure,Javascript,"jQuery, Node.js",Ninguna de las anteriores,"Cucumber, Cypress, Mocha, Postman, SoapUI",Posgrado/Especialización,Completo,UTN - Universidad Tecnológica Nacional,30,Mujer Cis,True,Semi-Senior,700000.0
Buenos Aires,Full-Time,Staff (planta permanente),992000.0,SysAdmin / DevOps / SRE,8,0,"Amazon Web Services, Docker, Linux, VMWare, Windows Server",Bash/Shell,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Universitario,Incompleto,UNLaM - Universidad Nacional de La Matanza,38,Hombre Cis,True,Senior,1166000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000.0,Infosec,7,0,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora",Ninguna de las anteriores,Terciario,Incompleto,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,33,Hombre Cis,True,Senior,655000.0
Buenos Aires,Full-Time,Staff (planta permanente),297000.0,Consultant,3,0,"Amazon Web Services, Azure, Google Cloud Platform",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UNLP - Universidad Nacional de La Plata,29,Hombre Cis,True,Semi-Senior,358000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000.0,Developer,8,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, CSS, HTML, Java, Javascript, SQL","Bootstrap, React.js, Spring","Amazon RDS/Aurora, ElasticSearch, Microsoft SQL Server, SQLite","Cypress, Jest, JUnit, Postman",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,35,Mujer Cis,True,Senior,800000.0
Buenos Aires,Full-Time,Staff (planta permanente),475000.0,Manager / Director,7,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Amazon RDS/Aurora, Bigquery",Ninguna de las anteriores,Posgrado/Especialización,Completo,UNLP - Universidad Nacional de La Plata,32,Hombre Cis,True,Senior,576000.0
Córdoba,Full-Time,Staff (planta permanente),1100000.0,Manager / Director,12,20,Google Cloud Platform,"Go, Java, Python",React.js,"Google Cloud Storage, MongoDB",Postman,Universitario,En curso,Universidad Siglo 21,43,Mujer Cis,True,Senior,1900000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),744000.0,SysAdmin / DevOps / SRE,5,0,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack, Serverless","Bash/Shell, Go, Groovy, PHP, Python, Ruby, SQL",Ninguno de los anteriores,"Amazon DynamoDB, ElasticSearch, MariaDB, MySQL, Percona Server, Redis, SQLite",Ninguna de las anteriores,Terciario,Incompleto,UNL - Universidad Nacional del Litoral,27,Hombre Cis,True,Semi-Senior,850000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),591154.0,SysAdmin / DevOps / SRE,5,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Perl, Python",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, Redis",Ninguna de las anteriores,Universitario,Completo,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,28,Hombre Cis,True,Semi-Senior,969275.0
Buenos Aires,Full-Time,Staff (planta permanente),430000.0,Developer,3,0,Amazon Web Services,Go,Ninguno de los anteriores,Amazon DynamoDB,Ninguna de las anteriores,Secundario,Completo,UCAECE - Centro de Altos Estudios en Ciencias Exactas,35,Hombre Cis,True,Semi-Senior,630000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,179295.4062165246,Developer,3,3,"Amazon Web Services, Linux","CSS, HTML, Javascript, PHP, Solidity","Bootstrap, jQuery, Laravel, Node.js",MySQL,Ninguna de las anteriores,Universitario,En curso,UADE - Universidad Argentina De la Empresa,21,Hombre Cis,True,Semi-Senior,240000.0
Buenos Aires,Full-Time,Staff (planta permanente),765000.0,Manager / Director,30,5,"Amazon Web Services, Docker, Google Cloud Platform, Microcontroladores","C, Go, Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, MySQL, Teradata",Postman,Universitario,Completo,UM - Universidad de Morón,53,Hombre Cis,True,Senior,1300000.0
Córdoba,Full-Time,Staff (planta permanente),650000.0,Developer,8,0,"Docker, Kubernetes, Linux",Python,Ninguno de los anteriores,"ElasticSearch, Redis",Pytest,Posgrado/Especialización,Completo,UNC - Universidad Nacional de Córdoba,38,Hombre Cis,True,Senior,800000.0
Mendoza,Full-Time,Staff (planta permanente),634000.0,Engineer,1,0,"Docker, Linux","Bash/Shell, C, Python",Ninguno de los anteriores,"ElasticSearch, Influxdb",Ninguna de las anteriores,Universitario,Completo,UNCUYO - Universidad Nacional de Cuyo,26,Hombre Cis,True,Junior,700000.0
Buenos Aires,Part-Time,Contractor,2000000.0,Developer,12,0,"Amazon Web Services, Windows Server",".NET, CSS, Groovy, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery","Microsoft SQL Server, PostgreSQL",Selenium,Posdoctorado,Completo,UBA - Universidad de Buenos Aires,44,Hombre Cis,True,Senior,2000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),609304.0,Consultant,15,1,SAP,ABAP,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UK - Universidad Kennedy,36,Hombre Cis,True,Senior,550000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),470000.0,Technical Leader,4,4,"Linux, Microcontroladores","C, C++, CSS, HTML, Javascript, VBA","Bootstrap, jQuery",Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,42,Hombre Cis,True,Semi-Senior,600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),275000.0,BI Analyst / Data Analyst,0,0,Ninguna de las anteriores,"Python, R, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Universitario,En curso,UTN - Universidad Tecnológica Nacional,22,Hombre Cis,True,Junior,335000.0
Mendoza,Full-Time,Contractor,900000.0,Consultant,3,0,Azure,"Python, SQL",Django,Ninguna de las anteriores,Ninguna de las anteriores,Maestría,Incompleto,UTN - Universidad Tecnológica Nacional,39,Mujer Cis,True,Semi-Senior,1200000.0
Buenos Aires,Part-Time,Contractor,182926.0,Developer,0,0,"Docker, Linux, Gitlab",C,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Secundario,En curso,UNLP - Universidad Nacional de La Plata,18,Hombre Cis,True,Junior,198528.0
Mendoza,Full-Time,Contractor,362438.0,Developer,1,0,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, Java, Javascript, SQL, TypeScript","Flutter, Hibernate, Node.js, React.js, Spring, WordPress","Amazon RDS/Aurora, MySQL, PostgreSQL",Ninguna de las anteriores,Universitario,En curso,UTN - Universidad Tecnológica Nacional,28,Hombre Cis,True,Junior,390000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),470000.0,Machine Learning Engineer,3,0,"Google Cloud Platform, Kubernetes","Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, BigQuery",Ninguna de las anteriores,Terciario,En curso,ORT,26,Hombre Cis,True,Semi-Senior,595000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),177600.0,Developer,1,0,"Azure, Docker, Linux","CSS, HTML, Java, Javascript, SQL","Angular, Bootstrap, Hibernate, React.js, Spring","Microsoft SQL Server, MySQL",JUnit,Universitario,En curso,UBA - Universidad de Buenos Aires,28,Hombre Cis,True,Junior,237500.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),391000.0,Infosec,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,35,Hombre Cis,True,Semi-Senior,324500.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),222000.0,Developer,2,0,OpenShift,".NET, C#, HTML, Javascript, SQL",".NET Core, Bootstrap",MongoDB,Ninguna de las anteriores,Terciario,En curso,ORT,25,Hombre Cis,True,Junior,370000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000.0,Developer,13,0,Linux,"Bash/Shell, C, Perl, Python",Ninguno de los anteriores,MariaDB,Ninguna de las anteriores,Universitario,En curso,UNS - Universidad Nacional del Sur,31,Hombre Cis,True,Senior,600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),572795.0,Developer,6,0,"Amazon Web Services, Docker, Kubernetes, Serverless",TypeScript,"Node.js, React.js","Amazon DynamoDB, ElasticSearch, MySQL, Redis, SQLite","Cypress, Jest, Postman",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,28,Hombre Cis,True,Senior,859606.04
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),510000.0,HelpDesk,4,0,Azure,Ruby,Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,Universitario,En curso,UADE - Universidad Argentina De la Empresa,25,Hombre Cis,True,Semi-Senior,356000.0
Córdoba,Full-Time,Contractor,2000000.0,Developer,7,0,Google Cloud Platform,"Go, Python",Echo,PostgreSQL,Ginkgo,Universitario,Incompleto,UBA - Universidad de Buenos Aires,28,Hombre Cis,True,Senior,2500000.0
Buenos Aires,Full-Time,Contractor,540000.0,UX,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UNLA - Universidad Nacional de Lanús,41,Mujer Cis,True,Junior,540000.0
Buenos Aires,Full-Time,Staff (planta permanente),647150.0,SysAdmin / DevOps / SRE,7,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Microcontroladores, OpenShift, OpenStack, Serverless","Bash/Shell, C++, Go, Python, SQL",WordPress,"Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MariaDB, MySQL, Oracle, PostgreSQL, Redis, SQLite",Ninguna de las anteriores,Terciario,Completo,UNLP - Universidad Nacional de La Plata,26,Hombre Cis,True,Senior,720710.0
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),207000.0,Developer,1,0,"Amazon Web Services, Docker, Linux","Bash/Shell, Python, SQL","Spark, TensorFlow, Torch",PostgreSQL,Ninguna de las anteriores,Universitario,En curso,UBA - Universidad de Buenos Aires,24,Mujer Cis,True,Junior,250000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),603000.0,SysAdmin / DevOps / SRE,5,2,"Docker, Google Cloud Platform, Kubernetes, Linux","Javascript, PHP, TypeScript",Node.js,"MariaDB, Couchbase",Ninguna de las anteriores,Universitario,Completo,UTN - Universidad Tecnológica Nacional,35,Hombre Cis,True,Semi-Senior,698000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,850000.0,Infosec,20,0,"Amazon Web Services, Docker, Linux, VMWare",Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UTN - Universidad Tecnológica Nacional,52,Hombre Cis,True,Senior,850000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1320000.0,HelpDesk,5,0,"Azure, Linux, OpenShift, Windows Server","Bash/Shell, Javascript, Python, SQL, VBA","Django, Node.js, WordPress","ElasticSearch, Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL",Selenium,Universitario,En curso,UNLaM - Universidad Nacional de La Matanza,30,No binarie,True,Semi-Senior,1350000.0
Córdoba,Full-Time,Contractor,231750.53571242606,Developer,3,0,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js",ElasticSearch,Jest,Universitario,Completo,UTN - Universidad Tecnológica Nacional,27,Fluido,True,Semi-Senior,300000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1000000.0,Manager / Director,27,6,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,54,Hombre Cis,True,Senior,860000.0
Mendoza,Full-Time,Staff (planta permanente),360000.0,Developer,1,0,"Azure, Docker","CSS, HTML, Javascript, TypeScript","Angular, Bootstrap",Ninguna de las anteriores,Postman,Universitario,Incompleto,UNCUYO - Universidad Nacional de Cuyo,24,Mujer Cis,True,Junior,432000.0
Buenos Aires,Full-Time,Contractor,578000.0,Developer,2,0,"Amazon Web Services, Docker, Linux","Bash/Shell, HTML, Javascript, Kotlin, Rust, SQL, TypeScript","Hibernate, Next.js, Node.js, React.js, Spring, Ninguno de los anteriores, NestJS","Amazon RDS/Aurora, MySQL","Jest, JUnit, Mocha, JMeter",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,23,Hombre Cis,True,Junior,590000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1152000.0,Technical Leader,6,4,"Amazon Web Services, Docker, Linux, Serverless","CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js","Amazon DynamoDB, MongoDB, PostgreSQL","Jest, Mocha",Universitario,Incompleto,UBA - Universidad de Buenos Aires,31,Hombre Cis,True,Senior,1440000.0
Buenos Aires,Full-Time,Staff (planta permanente),678000.0,Developer,4,0,"Amazon Web Services, Azure","Java, Javascript, SQL, TypeScript","Angular, Bootstrap, React.js, Spring","MySQL, PostgreSQL","Jest, JUnit, Karma, Mocha",Universitario,Completo,UNLP - Universidad Nacional de La Plata,24,Prefiero no decir,True,Semi-Senior,600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),626000.0,Manager / Director,25,2,"Azure, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Universitario,Completo,UAI - Universidad Abierta Interamericana,43,Prefiero no decir,True,Senior,996000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),426339.0,Technical Leader,14,0,Docker,"Javascript, TypeScript","Node.js, React.js",Microsoft SQL Server,Jest,Universitario,Completo,UTN - Universidad Tecnológica Nacional,33,Hombre Cis,True,Senior,622020.0
Córdoba,Full-Time,Staff (planta permanente),490000.0,Manager / Director,3,7,"Docker, Linux",Python,Django,Ninguna de las anteriores,"Cucumber, RobotFramework",Universitario,Completo,UNRC - Universidad Nacional de Río Cuarto,27,Hombre Cis,True,Semi-Senior,520000.0
Córdoba,Full-Time,Contractor,931200.0,Developer,2,0,"Amazon Web Services, Docker","CSS, HTML, Java, Javascript, TypeScript","Hibernate, React.js, Spring, Vue.js",PostgreSQL,Cypress,Universitario,En curso,Universidad Siglo 21,26,Mujer Cis,True,Junior,960000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2667500.0,Manager / Director,24,0,"Amazon Web Services, Docker, Linux, Microcontroladores","PHP, Python","jQuery, Laravel, Symfony, Vue.js",PostgreSQL,Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,45,Hombre Cis,True,Senior,2667500.0
Misiones,Full-Time,Contractor,576000.0,SysAdmin / DevOps / SRE,0,0,"Azure, Kubernetes, Windows Server",Bash/Shell,Ninguno,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguno,Universitario,Incompleto,UNC - Universidad Nacional de Córdoba,21,Hombre Cis,True,Junior,624000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000.0,Recruiter / HR,17,2,"Google Cloud Platform, SAP, Ssff",Ninguno de los anteriores,SAP,Ninguna de las anteriores,Ninguna de las anteriores,Maestría,En curso,UBA - Universidad de Buenos Aires,47,Mujer Cis,True,Senior,700000.0
Buenos Aires,Full-Time,Contractor,333163.78607116896,Developer,1,0,Linux,"Javascript, TypeScript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,26,Mujer Cis,True,Junior,416000.0
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,290000.0,Manager / Director,3,0,"Firebase, Google Cloud Platform, Linux","Javascript, SQL","Node.js, React.js","Google Cloud Storage, MySQL","Cypress, Jest",Universitario,En curso,UBA - Universidad de Buenos Aires,27,Hombre Cis,True,Semi-Senior,300000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),544588.0,Developer,1,0,"Amazon Web Services, Docker, Kubernetes","Go, Javascript",React.js,Amazon DynamoDB,Jest,Universitario,En curso,UBA - Universidad de Buenos Aires,22,Hombre Cis,True,Junior,625963.0
Santa Fe,Full-Time,Staff (planta permanente),217686.0,Designer,4,2,Ninguna de las anteriores,"CSS, HTML, Javascript",Bootstrap,Firebase,Ninguna de las anteriores,Universitario,Completo,UNL - Universidad Nacional del Litoral,32,Mujer Cis,True,Semi-Senior,255743.0
Neuquén,Full-Time,Staff (planta permanente),385841.0,Developer,2,0,Azure,"HTML, Javascript, TypeScript",Angular,Ninguna de las anteriores,Ninguna de las anteriores,Terciario,Incompleto,UNCOMA - Universidad Nacional del Comahu,37,Mujer Cis,True,Junior,497742.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),580000.0,Technical Leader,3,2,"Amazon Web Services, Azure, Linux, VMWare, Windows Server",Ninguno de los anteriores,WordPress,Amazon RDS/Aurora,Ninguna de las anteriores,Universitario,Completo,UAI - Universidad Abierta Interamericana,36,Hombre Cis,True,Semi-Senior,720000.0
Buenos Aires,Full-Time,Contractor,552900.0,Developer,2,0,"Amazon Web Services, Docker","Java, TypeScript","Angular, React.js, Spring, React Native",MySQL,Ninguna de las anteriores,Universitario,Completo,USAL - Universidad del Salvador,30,Hombre Cis,True,Junior,582000.0
Mendoza,Full-Time,Staff (planta permanente),720000.0,SysAdmin / DevOps / SRE,23,4,"Amazon Web Services, Azure, Google Cloud Platform, Linux, Windows Server",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,Universidad Siglo 21,43,Hombre Cis,True,Senior,950000.0
Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Developer,19,0,Ninguna de las anteriores,"C++, Javascript, Python",Ninguno de los anteriores,SQLite,Ninguna de las anteriores,Universitario,Completo,UNLP - Universidad Nacional de La Plata,45,Hombre Cis,True,Senior,2000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1623000.0,SysAdmin / DevOps / SRE,2,0,"Google Cloud Platform, Kubernetes, Linux, Windows Server","Groovy, Java","Node.js, Spring","Google Cloud Storage, MySQL, PostgreSQL, Redis",Postman,Universitario,Completo,UBA - Universidad de Buenos Aires,32,Hombre Cis,True,Junior,1708800.0
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1880000.0,Developer,5,0,"Docker, Linux","CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js",Ninguna de las anteriores,"Cypress, Jest",Universitario,En curso,UNC - Universidad Nacional de Córdoba,31,Hombre Cis,True,Semi-Senior,1880000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),210000.0,Developer,1,0,"Firebase, Google Cloud Platform","Bash/Shell, CSS, HTML, Javascript","Angular, Node.js, WordPress",Firebase realtime database y firestore,Ninguna de las anteriores,Terciario,En curso,ORT,24,Hombre Cis,True,Junior,250000.0
Córdoba,Full-Time,Contractor,1975000.0,Developer,6,0,"Amazon Web Services, Docker, Kubernetes, Linux","Go, Javascript, SQL",Ninguno de los anteriores,"Aerospike, Amazon DynamoDB, Amazon RDS/Aurora, MySQL",Ninguna de las anteriores,Universitario,Completo,UTN - Universidad Tecnológica Nacional,29,Hombre Cis,True,Senior,2101000.0
Buenos Aires,Full-Time,Contractor,1000000.0,UX,4,0,Amazon Web Services,Ruby,"Bootstrap, Rails",PostgreSQL,"Postman, RSpec",Universitario,Completo,UNLP - Universidad Nacional de La Plata,28,Mujer Cis,True,Semi-Senior,1000000.0
